Accession,Protein Name,Length,Organism Scientific Neme
A0A7T7VSA6,Rad52/22 double-strand break repair protein,210,Croceicoccus sp. YJ47
A0A0N0VI43,Rad52/22 double-strand break repair protein,247,Pseudomonas fuscovaginae
A0A2D6RND7,DOD-type homing endonuclease domain-containing protein,235,Candidatus Pacearchaeota archaeon
A0A5C7QEG1,Rad52/22 double-strand break repair protein,180,Desulfurellales bacterium
A0A166L3T9,Rad52/22 double-strand break repair protein,163,Peniophora sp. CONT
A0A562NKU2,Rad52/22 double-strand break repair protein,214,Paracoccus sulfuroxidans
A0A7K0ESW4,DNA repair protein Rad52,177,Larkinella terrae
A0A0E3ZTC0,DNA repair protein Rad52,167,Spirosoma radiotolerans
A0A1V5NHU1,Recombinase,151,bacterium ADurb.Bin400
A0A2D5WKH6,DNA repair protein Rad52,142,Actinomycetia bacterium
A0A6P1W607,DNA repair protein Rad52,167,Spirosoma endbachense
A0A5N1JP36,DNA repair protein Rad52,177,Larkinella humicola
A0A7K0UPD1,Rad52/22 double-strand break repair protein,158,Actinomycetia bacterium
A0A323U7N8,Recombinase A,169,Meiothermus sp. Pnk-1
A0A369Q5Q0,Rad52/22 double-strand break repair protein,207,Alteripontixanthobacter maritimus
A0A379Q810,Recombinase,132,Salmonella enterica
A0A831UGN9,Rad52/22 double-strand break repair protein,165,Thermus islandicus
D3PNF8,Rad52/22 double-strand break repair protein,170,Meiothermus ruber (strain ATCC 35948 / DSM 1279 / VKM B-1258 / 21)
A0A134B5A8,Rad52/22 double-strand break repair protein,227,Prevotella amnii
A0A7K0EJ12,DNA repair protein Rad52,173,Larkinella terrae
A0A067NYK4,Recombination protein Rad52,165,Pleurotus ostreatus PC15
A0A2V2F263,Ricin B-type lectin domain-containing protein,177,Oscillospiraceae bacterium
A0A520VSS9,DNA repair protein Rad52,142,Candidatus Actinomarinales bacterium
A0A7G5H6S9,DNA repair protein Rad52,167,Spirosoma sp. KCTC 72228
A0A410NVG7,DNA repair protein Rad52,215,Brevundimonas diminuta
A0A521GDF3,DNA repair protein Rad52,166,Cytophagales bacterium
A0A511QZQ8,Rad52/22 double-strand break repair protein,170,Meiothermus hypogaeus NBRC 106114
E8PL03,Rad52/22 double-strand break repair protein,156,Thermus scotoductus (strain ATCC 700910 / SA-01)
A0A323U953,Rad52/22 double-strand break repair protein,171,Meiothermus sp. Pnk-1
A0A430VPI6,Rad52/22 double-strand break repair protein,156,Thermus scotoductus
A0A430RH84,Rad52/22 double-strand break repair protein,156,Thermus scotoductus
K7QX09,Rad52/22 double-strand break repair protein,174,Thermus oshimai JL-2
A0A5N1JL85,DNA repair protein Rad52,178,Larkinella humicola
A0A173LXP7,Rad52/22 double-strand break repair protein,189,Aurantimicrobium minutum
A0A379HBR3,Recombinase,312,Pseudoalteromonas nigrifaciens
A0A3M1A5T1,Rad52/22 double-strand break repair protein,224,Alphaproteobacteria bacterium
A0A7J5U527,DNA repair protein Rad52,166,Rudanella paleaurantiibacter
A0A7W2JH78,Rad52/22 double-strand break repair protein,243,Pseudomonas juntendi
A0A2E5HE54,Rad52/22 double-strand break repair protein,172,Rhodobiaceae bacterium
A0A510XDU2,Phage protein,258,Halomonas pacifica
A0A6I6YW55,Prophage protein,118,Bacillus pacificus
A0A7X3F0Z3,Rad52/22 double-strand break repair protein,243,Pseudomonas monteilii
F8PJC4,Rad52/22 double-strand break repair protein,168,Serpula lacrymans var. lacrymans (strain S7.3)
A0A0J7H602,Prophage protein,118,Bacillus cereus
A0A165SVV7,Recombination protein Rad52,168,Neolentinus lepideus HHB14362 ss-1
A0A3G5U3X8,Prophage protein,118,Bacillus sp. FDAARGOS_527
A0A229MBS2,Prophage protein,118,Bacillus sp. KbaL1
A0A5M9GP42,Prophage protein,118,Bacillus paranthracis
B7I151,Prophage protein,118,Bacillus cereus (strain AH187)
D7BJI2,Recombinase,170,Meiothermus silvanus (strain ATCC 700542 / DSM 9946 / VI-R2)
A0A1Y2CNZ3,DNA repair and recombination protein Rad22,164,Rhizoclosmatium globosum
A0A2E1KF31,Rad52/22 double-strand break repair protein,134,Gammaproteobacteria bacterium
A0A7V7S2E9,Prophage protein,118,Bacillus luti
D7BAH2,DNA repair protein Rad52,169,Meiothermus silvanus (strain ATCC 700542 / DSM 9946 / VI-R2)
R7STW7,Rad52/22 double-strand break repair protein,167,Dichomitus squalens (strain LYAD-421)
A0A0F5RL50,Prophage protein,118,Bacillus sp. UMTAT18
A0A2E7KTY7,DNA repair protein Rad52,142,Actinomycetia bacterium
A0A3R9D9J3,Prophage protein,118,Bacillus sp.
A0A6I6Y6K1,Prophage protein,118,Bacillus paranthracis
A0A6I7EIM3,Prophage protein,118,Bacillus cereus
R6FH61,Recombinase,237,Lachnospiraceae bacterium CAG:215
A0A348SQG3,Phage protein,267,Cobetia sp.
A0A6A4I579,Rad52/22 double-strand break repair protein,171,Gymnopus androsaceus JB14
A0A6B3L597,Prophage protein,118,Bacillus mobilis
A0A831WFI4,Recombinase,151,Candidatus Kaiserbacteria bacterium
K9SX90,Phage protein,146,Synechococcus sp. PCC 7502
A0A1J0AG54,DUF1071 domain-containing protein,138,Gloeomargarita lithophora Alchichica-D10
A0A2D7L5K6,Rad52/22 double-strand break repair protein,142,Actinomycetia bacterium
A0A368LHB9,Recombinase,306,Vibrio casei
A0A519L0P3,DNA repair protein,204,Brevundimonas sp.
A0A5C8VBT5,Rad52/22 double-strand break repair protein,217,Methylobacterium sp. WL7
K5XR96,Rad52/22 double-strand break repair protein,163,Agaricus bisporus var. burnettii (strain JB137-S8 / ATCC MYA-4627 / FGSC 10392)
Q74P08,Prophage protein,118,Bacillus cereus (strain ATCC 10987 / NRS 248)
A0A0A1TVT0,DNA repair protein RAD59,147,Entamoeba invadens IP1
A0A165VS64,SsDNA binding protein,242,Stutzerimonas stutzeri
R7STG4,Rad52/22 double-strand break repair protein,167,Dichomitus squalens (strain LYAD-421)
A0A327WY56,Rad52/22 double-strand break repair protein,178,Larkinella arboricola
A0A4Q3QX86,DNA repair protein Rad52,172,Cytophagaceae bacterium
A0A167LRE8,Recombinase,305,Pseudoalteromonas luteoviolacea CPMOR-1
A0A1J0AA32,DUF1071 domain-containing protein,138,Gloeomargarita lithophora Alchichica-D10
A0A556BQ08,Prophage protein,118,Bacillus sp. HY001
A0A1I0J0H2,DNA repair protein Rad52,226,Paracoccus homiensis
A0A366JKC7,Rad52/22 double-strand break repair protein,113,Cytobacillus firmus
A1BYL2,Prophage protein,118,Bacillus cereus
A0A1E3VQV5,DUF4357 domain-containing protein,210,Methyloceanibacter stevinii
A0A399ESN1,DNA repair protein Rad52,174,Calidithermus roseus
A0A497EHU1,ABC transporter ATP-binding protein,70,Candidatus Woesearchaeota archaeon
A0A4R8G5W4,Rad52/22 double-strand break repair protein,113,Cytobacillus oceanisediminis
A0A7Z7HTQ8,Rad52/22 double-strand break repair protein,261,Halomonas sp. hl-4
T0LB76,Rad52/22 double-strand break repair protein,181,Nosema apis BRL 01
A0A397SQS1,Rad52/22 double-strand break repair protein,165,Glomus cerebriforme
F2NQ93,Rad52/22 double-strand break repair protein,194,Marinithermus hydrothermalis (strain DSM 14884 / JCM 11576 / T1)
A0A1G0ICA0,Rad52/22 double-strand break repair protein,159,Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_63_22
A0A843GZ30,DNA repair protein Rad52,196,Methanobrevibacter sp.
A0A1W6EAG3,DNA repair protein Rad52,172,Fibrella sp. ES10-3-2-2
A0A6L5ATT6,Rad52/22 double-strand break repair protein,113,Bacillus sp. ZZV12-4809
A0A3T0W5P4,Recombinase,303,Pseudoalteromonas sp. R3
A0A7Y1VQ64,DNA repair protein Rad52,142,Acidimicrobiia bacterium
A0A0B0SDD6,Rad52/22 double-strand break repair protein,210,Thermus sp. (strain 2.9)
A0A2E3JPU3,DNA repair protein Rad52,143,Actinomycetia bacterium
A0A399F680,Rad52/22 double-strand break repair protein,177,Meiothermus luteus
A0A5S3UH00,Recombinase,307,Pseudoalteromonas sp. S4389
A0A0A2WQV3,Rad52/22 double-strand break repair protein,205,Thermus filiformis
A0A1W6E138,Rad52/22 double-strand break repair protein,178,Fibrella sp. ES10-3-2-2
A0A128F069,Recombinase,308,Grimontia marina
A0A2A5YDN5,DNA repair protein Rad52,142,Candidatus Actinomarinales bacterium MED-G02
A0A2D4XE97,DNA repair protein Rad52,142,Actinomycetia bacterium
A0A7Y6NVD0,Recombinase,304,Pseudoalteromonas sp. McH1-7
W0RKH9,Recombinase,226,Gemmatirosa kalamazoonesis
A0A2E6LEC2,Rad52/22 double-strand break repair protein,142,Actinomycetia bacterium
A0A4Q9M3F4,Rad52/22 double-strand break repair protein,173,Dichomitus squalens
A0A4V4HNG4,Phage protein,178,Glycomyces paridis
A0A2E0UI53,DNA repair protein Rad52,182,Ectothiorhodospiraceae bacterium
H9ZTJ1,Rad52/22 double-strand break repair protein,210,Thermus thermophilus JL-18
A0A061JMK6,SsDNA binding protein,246,Pseudomonas stutzeri KOS6
A0A2E7LMT9,Rad52/22 double-strand break repair protein,134,Dehalococcoidia bacterium
A0A377PN03,Recombinase,227,Hafnia alvei
A0A7C5VGA6,Rad52/22 double-strand break repair protein,229,Thermus caliditerrae
A0A7V4ANI6,Rad52/22 double-strand break repair protein,229,Thermus tengchongensis
A2RN08,Recombinase,123,Lactococcus lactis subsp. cremoris (strain MG1363)
A0A2D9CGZ2,Rad52/22 double-strand break repair protein,130,Phycisphaerae bacterium
A0A1Z9QP79,DNA repair protein Rad52,142,Acidimicrobiaceae bacterium TMED244
A0A437AI79,Rad52/22 double-strand break repair protein,192,Tubulinosema ratisbonensis
A0A5D9D9U4,Phage protein,261,Halomonas eurihalina
A0A6M3LL51,Rad52/22 double-strand break repair protein,214,viral metagenome
I0KAG0,Rad52/22 double-strand break repair protein,172,Fibrella aestuarina BUZ 2
I0KD35,Rad52/22 double-strand break repair protein,172,Fibrella aestuarina BUZ 2
A0A077WQK3,RAD52,173,Lichtheimia ramosa
A0A424SD99,DNA repair protein Rad52,142,bacterium TMED221
A0A081SDZ0,DUF1071 domain-containing protein,144,[Candidatus Thermochlorobacteriaceae] bacterium GBChlB
A0A2A4GII1,Recombinase,313,Salinivibrio sp. YCSC6
A0A2E6H814,Recombinase,183,Halobacteriovorax sp.
I0KAY0,Rad52/22 double-strand break repair protein,174,Fibrella aestuarina BUZ 2
A0A1C6HNN2,Rad52/22 double-strand break repair protein,239,uncultured Clostridium sp.
A0A2E4DZM3,Rad52/22 double-strand break repair protein,153,Candidatus Marinimicrobia bacterium
A0A662LAY3,Rad52/22 double-strand break repair protein,192,Thermoplasmata archaeon
B0C310,Phage protein,156,Acaryochloris marina (strain MBIC 11017)
E8T2U2,Rad52/22 double-strand break repair protein,193,Thermovibrio ammonificans (strain DSM 15698 / JCM 12110 / HB-1)
A0A1J7C8C8,Recombinase,226,Sodalis sp. TME1
A0A6N7ZUM7,Rad52/22 double-strand break repair protein,225,Roseibium sp. RKSG952
E1VAE5,Phage protein,261,Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9)
A0A194S4Z2,Rad52/22 double-strand break repair protein,172,Rhodotorula graminis (strain WP1)
A0A1Y1SA08,RAD52,185,Enterospora canceri
A0A4Y7SG15,Rad52/22 double-strand break repair protein,174,Coprinellus micaceus
A0A178MM01,Phage protein,252,Magnetospirillum marisnigri
A0A1Y2GR86,Rad52/22 double-strand break repair protein,170,Lobosporangium transversale
D7BEG5,DNA repair protein Rad52,179,Meiothermus silvanus (strain ATCC 700542 / DSM 9946 / VI-R2)
A0A165JYM4,Rad52/22 double-strand break repair protein,172,Calocera cornea HHB12733
A0A7V9P8T4,DNA repair protein,138,Acidobacteria bacterium
A0A1Z9EP75,Recombinase,151,Flavobacteriales bacterium TMED123
A0A399F6K8,Rad52/22 double-strand break repair protein,182,Calidithermus terrae
A0A3N5LM19,Recombinase,155,Ignavibacteriae bacterium
A0A5C2SBZ2,Rad52/22 double-strand break repair protein,171,Lentinus tigrinus ALCF2SS1-6
A0A832CQR9,Restriction endonuclease,148,Candidatus Amesbacteria bacterium
H5SI06,Rad52/22 double-strand break repair protein,224,uncultured Acetothermia bacterium
H7GEA3,Rad52/22 double-strand break repair protein,212,Thermus parvatiensis
Q72GC5,Rad52/22 double-strand break repair protein,212,Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)
F6DDA8,Rad52/22 double-strand break repair protein,212,Thermus thermophilus (strain SG0.5JP17-16)
Q5SM62,Rad52/22 double-strand break repair protein,212,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)
A0A2T3W4T9,DNA end-protection protein DdrA,190,Deinococcus arcticus
A0A510HR52,Rad52/22 double-strand break repair protein,212,Thermus thermophilus
A0A1G7EM58,Rad52/22 double-strand break repair protein,212,Thermus arciformis
A0A4Y9F848,Recombinase RecT,179,Thermus tengchongensis
A0A067Q5H4,Rad52/22 double-strand break repair protein,178,Jaapia argillacea MUCL 33604
A0A3P4ARG3,Rad52/22 double-strand break repair protein,211,Thermus thermophilus
A0A7D8V267,Rad52/22 double-strand break repair protein,158,Vanrija humicola
C1D1R8,Single-stranded DNA-binding protein DdrA,201,Deinococcus deserti (strain DSM 17065 / CIP 109153 / LMG 22923 / VCD115)
A0A0X8D838,Rad52/22 double-strand break repair protein,211,Thermus parvatiensis
A0A268P6P5,Recombinase,217,Alkalihalobacillus clausii
A0A545U064,Rad52/22 double-strand break repair protein,150,Aliikangiella coralliicola
A0A7H0F5R7,Phage protein,237,Cylindrospermopsis curvispora GIHE-G1
H5SI88,Rad52/22 double-strand break repair protein,224,uncultured Acetothermia bacterium
H5SQQ2,Rad52/22 double-strand break repair protein,224,Acetothermus autotrophicum
M5G1R2,Recombination protein Rad52,177,Dacryopinax primogenitus (strain DJM 731)
S9XFH8,RAD52,155,Camelus ferus
A0A7V5S818,DNA repair protein Rad52,225,Candidatus Fraserbacteria bacterium
A0A0U2X1K0,DUF1738 domain-containing protein,312,Pseudoalteromonas translucida KMM 520
A0A1J1EHJ0,Rad52/22 double-strand break repair protein,212,Thermus thermophilus
A0A5Q3L4R9,Recombinase,197,Planctomycetales bacterium 10988
A0A7R7TC91,Rad52/22 double-strand break repair protein,212,Thermus thermophilus
G8NBB7,Rad52/22 double-strand break repair protein,213,Thermus sp. CCB_US3_UF1
K7QYP6,Rad52/22 double-strand break repair protein,210,Thermus oshimai JL-2
A0A323U7V4,DNA repair protein Rad52,179,Meiothermus sp. Pnk-1
A8RC25,DNA repair protein Rad52,187,Amedibacillus dolichus DSM 3991
A0A521AC83,ERF superfamily protein,198,Balnearium lithotrophicum
A0A848VMU4,Rad52/22 double-strand break repair protein,163,Rhodothermales bacterium
A0A1X6MXT1,Rad52/22 double-strand break repair protein,172,Postia placenta MAD-698-R-SB12
A0A220S8D1,DUF4410 domain-containing protein,174,Chryseobacterium sp. T16E-39
A0A841HY44,Single-stranded DNA-binding protein,193,Deinobacterium chartae
A0A5S3XC83,Recombinase,308,Pseudoalteromonas sp. S1688
X0TL12,Rad52/22 double-strand break repair protein,218,marine sediment metagenome
A0A0M9AE29,Rad52/22 double-strand break repair protein,213,Thermus aquaticus
A0A3A3G863,DNA repair protein Rad52,289,Paenibacillus thiaminolyticus
A0A420W9F4,ERF family protein,200,Thermovibrio guaymasensis
A0A5C2TI88,Rad52/22 double-strand break repair protein,173,Lentinus tigrinus ALCF2SS1-7
A0A7X1HRF8,ExoX-like_C domain-containing protein,208,Cetobacterium sp. 2G large
A0A1C3XHM3,Rad52/22 double-strand break repair protein,231,Bradyrhizobium yuanmingense
A0A2H5VII7,Rad52/22 double-strand break repair protein,193,bacterium HR07
A0A3P8V8Q2,RAD52,99,Cynoglossus semilaevis
A0A399F6E4,Rad52/22 double-strand break repair protein,181,Meiothermus granaticius NBRC 107808
A0A432UAX7,Archaeal PaREP1/PaREP8 family,196,Thermovibrio sp.
A0A7W1CEF1,"DNA repair RAD52-like protein 1, mitochondrial",137,Acidobacteria bacterium
L8M0V2,DUF1071 domain-containing protein,151,Xenococcus sp. PCC 7305
A0A0N0IW16,Phage protein,173,Chryseobacterium indologenes
A0A1J0LTJ8,Rad52/22 double-strand break repair protein,213,Thermus brockianus
A0A318CP48,DNA repair protein Rad52,200,Deltaproteobacteria bacterium
A0A3D5S445,Rad52/22 double-strand break repair protein,148,Cytophagales bacterium
L7JTH3,Rad52/22 double-strand break repair protein,195,Trachipleistophora hominis
A0A725F4M5,Recombinase,179,Salmonella senftenberg
A0A1X2J2U7,Rad52/22 double-strand break repair protein,172,Absidia repens
A0A318SG61,Single-stranded DNA-binding protein,196,Deinococcus yavapaiensis KR-236
A0A355D832,Recombinase,227,Clostridium sp.
A0A1Y1YC27,Rad52/22 double-strand break repair protein,149,Basidiobolus meristosporus CBS 931.73
A0A2E0BIK7,Rad52/22 double-strand break repair protein,154,Rhodobacteraceae bacterium
A0A2E4W3A0,Recombination protein,202,Acidobacteria bacterium
A0A4Q9B6Q0,Rad52/22 double-strand break repair protein,214,Thermus thermamylovorans
A0A6I5NK75,DUF1071 domain-containing protein,147,Leptolyngbya sp. SIO4C1
A0A4R5CH07,Recombinase,259,Actinomadura rubrisoli
A0A558IEZ1,Recombinase,308,Pseudoalteromonas neustonica
A0A7V4A1B6,Rad52/22 double-strand break repair protein,215,Thermus tengchongensis
A0A0T9TZ59,Recombinase,233,Yersinia frederiksenii
A0A2N0W431,Recombinase,230,Rahnella sp. AA
A0A662K3F3,DNA repair protein Rad52,200,Thermoplasmata archaeon
A0A0N0IPI7,Rad52/22 double-strand break repair protein,214,Thermus scotoductus
E8PM85,Rad52/22 double-strand break repair protein,214,Thermus scotoductus (strain ATCC 700910 / SA-01)
A0A7W8GD18,Single-stranded DNA-binding protein,201,Deinococcus budaensis
W2U238,Rad52/22 double-strand break repair protein,214,Thermus sp. NMX2.A1
A0A0C9VY41,Rad52/22 double-strand break repair protein,181,Sphaerobolus stellatus (strain SS14)
A0A5K7ZEB7,DUF1330 domain-containing protein,39,Desulfosarcina widdelii
A0A2H3D431,Rad52/22 double-strand break repair protein,174,Armillaria gallica
A0A480BEG5,Rad52/22 double-strand break repair protein,227,Paenibacillus naphthalenovorans
A0A7X1NUQ8,Single-stranded DNA-binding protein,201,Deinococcus terrestris
K1GRH7,ExoX-like_C domain-containing protein,205,Fusobacterium periodonticum D10
A0A0Q5LCE4,Single-stranded DNA-binding protein,198,Deinococcus sp. Leaf326
A0A3D1M3T0,Recombinase,217,Dehalococcoidia bacterium
A0A5D4KF57,Recombinase,219,Rossellomorea vietnamensis
A0A067M2U0,Rad52/22 double-strand break repair protein,182,Botryobasidium botryosum FD-172 SS1
A0A661R9S4,DNA repair protein Rad52,200,Deltaproteobacteria bacterium
A0A7C5ZKH2,DNA repair protein Rad52,190,Chloroflexi bacterium
A0A1B8P428,Phage protein,261,Halomonas elongata
A0A2G4U8D5,Recombinase,234,Yersinia mollaretii
A0A4V0I0I5,Rad52/22 double-strand break repair protein,243,Gemmataceae bacterium
A0A520W1S7,Rad52/22 double-strand break repair protein,150,Candidatus Actinomarinales bacterium
A0A831XNM0,Rad52/22 double-strand break repair protein,214,Thermus islandicus
A0A4Y9FAH6,Rad52/22 double-strand break repair protein,215,Thermus tengchongensis
A0A7Y0AMD5,Single-stranded DNA-binding protein,177,Chryseobacterium antibioticum
A0A2E7DS13,Recombinase,214,Gammaproteobacteria bacterium
A0A430QV89,Rad52/22 double-strand break repair protein,214,Thermus scotoductus
A0A520W1P6,DNA repair protein,154,Candidatus Actinomarinales bacterium
A0A5D3FA77,Essential recombination function protein,257,Actinomadura decatromicini
A0A6I2LC53,Recombinase,223,Aminobacter sp. MDW-2
A0A7V4TFW9,Rad52/22 double-strand break repair protein,183,Candidatus Caldatribacterium saccharofermentans
A0A7G7AS24,ExoX-like_C domain-containing protein,206,Fusobacterium hwasookii
A0A7V3YF31,Rad52/22 double-strand break repair protein,183,Candidatus Caldatribacterium californiense
A0A0C3PW12,Recombination protein Rad52,183,Phlebiopsis gigantea 11061_1 CR5-6
A0A0D7BR57,Rad52/22 double-strand break repair protein,179,Cylindrobasidium torrendii FP15055 ss-10
A0A2I9D0M1,Single-stranded DNA-binding protein,192,Deinococcus aerius
A0A2L1UMS8,Recombinase,230,Rahnella sp. ERMR1:05
A0A4Y9EXJ3,Rad52/22 double-strand break repair protein,215,Thermus tengchongensis
A0A7C2GFS5,Rad52/22 double-strand break repair protein,214,Thermus islandicus
A0A2P5GST4,Recombinase,234,Superficieibacter electus
A0A414TUW1,ExoX-like_C domain-containing protein,203,Fusobacterium varium
A0A5H5BG59,Recombinase,235,Salmonella enterica subsp. enterica serovar Choleraesuis
F9ERL1,ExoX-like_C domain-containing protein,206,Fusobacterium nucleatum subsp. animalis ATCC 51191
Q57SS2,Recombinase,235,Salmonella choleraesuis (strain SC-B67)
R5A8W8,Recombinase,202,Firmicutes bacterium CAG:102
U7VAY5,ExoX-like_C domain-containing protein,212,Cetobacterium somerae ATCC BAA-474
A0A315X8U7,Recombinase RecT,221,Dehalococcoidia bacterium
A0A3X9BW41,Recombinase,235,Salmonella enterica I
A0A729PWG9,Recombinase,235,Salmonella enterica subsp. salamae serovar 48:d:z6
A0A2H3BGP7,Rad52/22 double-strand break repair protein,174,Armillaria solidipes
A0A368VXH3,Rad52/22 double-strand break repair protein,216,Paenibacillus prosopidis
A0A4Q5UVM9,DNA repair protein Rad52,240,Chitinophagaceae bacterium
L2GLX4,RAD52,193,Vittaforma corneae (strain ATCC 50505)
A0A2C6CEB3,ExoX-like_C domain-containing protein,206,Fusobacterium nucleatum subsp. polymorphum
A0A2Z3JGN1,Single-stranded DNA-binding protein,196,Deinococcus irradiatisoli
A0A5Y7A615,Recombinase,235,Salmonella enterica subsp. enterica serovar Choleraesuis str. CFSAN000515
A0A828FYD4,Recombinase,235,Escherichia coli
S7PXG9,Rad52/22 double-strand break repair protein,143,Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617)
S7WAR1,RAD52,186,Spraguea lophii (strain 42_110)
A0A1Y0LRN2,Recombinase,239,Tatumella citrea
A0A246BHC3,DNA end-protection protein DdrA,191,Deinococcus indicus
A0A5F1Q321,Recombinase,235,Escherichia coli
A0A5R8Y4S4,Recombinase,214,[Halarcobacter] arenosus
A0A835Z6S2,DUF4410 domain-containing protein,157,Tribonema minus
C0PZF4,Recombinase,235,Salmonella paratyphi C (strain RKS4594)
A0A0C9Z9L8,Rad52/22 double-strand break repair protein,186,Pisolithus microcarpus 441
A0A172T7Q6,Single-stranded DNA-binding protein,199,Deinococcus puniceus
A0A1E4TVZ3,DNA repair protein RAD59,159,Pachysolen tannophilus NRRL Y-2460
A0A4Q9DV50,DUF1071 domain-containing protein,247,Paenibacillus thalictri
A0A6I4ZJ87,DNA topoisomerase (ATP-hydrolyzing),215,Dehalococcoidia bacterium
A0A7T8R1C9,Recombinase,235,Escherichia coli
A0A7U9AXY7,Recombinase,235,Escherichia coli TA206
A0A848C398,ExoX-like_C domain-containing protein,207,Fusobacterium sp. FSA-380-WT-3A
